symbol,annualholdingsturnover,enterprisetorevenue,beta3year,profitmargins,enterprisetoebitda,52 week change,morningstarriskrating,forwardeps,revenuequarterlygrowth,sharesoutstanding,fundinceptiondate,annualreportexpenseratio,totalassets,bookvalue,shareshort,sharespercentsharesout,fundfamily,lastfiscalyearend,heldpercentinstitutions,netincomeetocommon,trailingeps,lastdividendvalue,sand52weekchange,pricetobook,heldpercentinsiders,nextfiscalyearend,yield,mostrecentquarter,shortratio,sharesshortpreviousmonthdate,floatshares,beta,enterprisevalue,pricehint,threeyearaveragereturn,lastsplitdate,lastsplitfactor,legaltype,morningstaroverallrating,earningsquarterlygrowth,pricetosalestrailing12month,dateshortinterest,pegratio,ytdreturn,forwardpe,maxage,lastcapgain,shortpercentoffloat,sharesshortpriormonth,impliedsharesoutstanding,category,5yearaveragereturn
MRK,None,5.003,None,0.25876,,0.34724462,None,7.5,None,2535399936,-,None,None,17.549,17210478,0.0068,None,1640908800,0.76502,15322000384,6.03,0.73,-0.123556376,6.199214,0.00107,1672444800,None,1664496000,1.81,11/30/2022,2532429561,0.393093,2.95E+11,2,None,6/3/2021,1048:1000,None,None,-0.289,None,1672358400,1.28,None,14.505334,1,None,0.0068,19633252,,None,None
JNJ,None,4.7,None,0.19947,,0.027292013,None,10.36,None,2614479872,-,None,None,28.507,9980205,0.0038,None,1641081600,0.70682,19157000192,7.18,1.13,-0.123556376,5.9550285,0.00093,1672617600,None,1664668800,1.53,11/30/2022,2611346227,0.570631,4.51E+11,2,None,6/13/2001,2:01,None,None,0.216,None,1672358400,4.69,None,16.3861,1,None,0.0038,12871010,,None,None
UNH,None,1.498,None,0.062069997,,0.028596163,None,28.28,None,934348992,-,None,None,86.008,6326720,0.0068,None,1672444800,0.89655995,20120000512,21.18,1.65,-0.123556376,5.537159,0.00466,1703980800,None,1672444800,2.21,11/30/2022,943401400,0.727938,4.86E+11,2,None,5/31/2005,2:01,None,None,0.169,None,1672358400,1.4,None,16.84017,1,None,0.0068,4522222,,None,None
WMT,None,0.74,None,0.014939999,,-0.002690852,None,6.53,None,2696800000,-,None,None,26.75,12259035,0.0045,None,1643587200,0.32915002,8967000064,3.25,0.56,-0.123556376,5.2650466,0.48706,1675123200,None,1667174400,1.96,11/30/2022,1403064164,0.531566,4.44E+11,2,None,4/20/1999,2:01,None,None,None,None,1672358400,5.48,None,21.568146,1,None,0.0089,12820396,,None,None
MMM,None,2.329,None,0.18913999,,-0.29279256,None,10.28,None,552742976,-,None,None,25.473,13605545,0.024600001,None,1640908800,0.68035007,6575000064,11.46,1.49,-0.123556376,4.8188276,0.0011,1672444800,None,1664496000,4.61,11/30/2022,552184645,0.986396,80967196672,2,None,9/30/2003,2:01,None,None,1.691,None,1672358400,-16.78,None,11.940661,1,None,0.024600001,13054280,,None,None
CSCO,None,3.496,None,0.21997,,-0.19249314,None,3.83,None,4108100096,-,None,None,9.815,31792766,0.0077,None,1659139200,0.76248,11502000128,2.77,0.38,-0.123556376,4.778401,0.00083,1690675200,None,1667001600,1.72,11/30/2022,4105063067,0.965817,1.83E+11,2,None,3/23/2000,2:01,None,None,-0.104,None,1672358400,2,None,12.245432,1,None,0.0077,38684395,,None,None
AXP,None,2.519,None,0.15438,,-0.0652498,None,10.5,None,747233024,-,None,None,32.048,5620678,0.0075,None,1640908800,0.86319,7533000192,9.97,0.52,-0.123556376,4.6935844,0.00129,1672444800,None,1664496000,2.14,11/30/2022,594468444,1.158004,1.25E+11,2,None,10/3/2005,10000:8753,None,None,0.029,None,1672358400,2.05,None,14.325714,1,None,0.0094,6057592,,None,None
CRM,None,4.848,None,0.00918,,-0.34758228,None,5.76,None,1000000000,-,None,None,59.89,10246470,0.010199999,None,1643587200,0.79890996,278000000,0.25,None,-0.123556376,2.4286191,0.03249,1675123200,None,1667174400,0.83,11/30/2022,959188900,1.129403,1.47E+11,2,None,4/18/2013,4:01,None,None,-0.551,None,1672358400,1.66,None,25.251734,1,None,0.0106,9722804,,None,None
DOW,None,0.887,None,0.09603,,-0.016779125,None,4.37,None,703758976,-,None,None,25.743,9268172,0.013200001,None,1640908800,0.65576,5674999808,7.65,0.7,-0.123556376,2.207979,0.0013,1672444800,None,1664496000,2.08,11/30/2022,702499540,1.294099,52710678528,2,None,-,None,None,None,-0.561,None,1672358400,-1.01,None,13.0068655,1,None,0.013200001,10116854,,None,None
TRV,None,1.312,None,0.09255999,,0.11169636,None,14.59,None,234348000,-,None,None,84.959,3738941,0.016,None,1640908800,0.85005,3331000064,13.67,0.93,-0.123556376,2.1613955,0.00212,1672444800,None,1664496000,3,11/30/2022,233426539,0.642483,47583379456,2,None,5/12/1998,2:01,None,None,-0.314,None,1672358400,2.5,None,12.586018,1,None,0.016,3330704,,None,None
CVX,None,1.55,None,0.15048,,0.37975872,None,16.23,None,1933639936,-,None,None,82.063,16143340,0.0083,None,1640908800,0.71995,34166999040,17.58,1.42,-0.123556376,2.159682,0.00081,1672444800,None,1664496000,2.08,11/30/2022,1767036249,1.189396,3.52E+11,2,None,9/13/2004,2:01,None,None,0.838,None,1672358400,0.64,None,10.919902,1,None,0.0084,21147255,,None,None
VZ,None,2.548,None,0.14222,,-0.2514981,None,5,None,4199820032,-,None,None,20.827,35239041,0.0084,None,1640908800,0.63691,19292000256,4.6,0.653,-0.123556376,1.9191436,0.00024,1672444800,None,1664496000,1.31,11/30/2022,4197129564,0.33903,3.46E+11,2,None,7/2/2010,1000000:937889,None,None,-0.235,None,1672358400,5.09,None,7.9940004,1,None,0.0084,30525197,,None,None
DIS,None,2.853,None,0.03802,,-0.3290882,None,5.32,None,1823590016,-,None,None,52.088,20429917,0.0112,None,1664582400,0.64975,3192999936,1.81,0.88,-0.123556376,1.9013976,0.00112,1696118400,None,1664582400,1.42,11/30/2022,1822114878,1.232996,2.36E+11,2,None,6/13/2007,10000:9865,None,None,0.019,None,1672358400,1.02,None,18.61654,1,None,0.0112,18020502,,None,None
JPM,None,-2.471,None,0.30805,,-0.07510495,None,13.61,None,2934299904,-,None,None,90.287,17049941,0.0058,None,1672444800,0.70744,35891998720,12.09,1,-0.123556376,1.5126209,0.00894,1703980800,None,1672444800,1.73,11/30/2022,2907568527,1.110917,-3.02E+11,2,None,6/12/2000,3:02,None,None,0.059,None,1672358400,-11,None,10.034534,1,None,0.0059,20973162,,None,None
WBA,None,0.514,None,-0.02242,,-0.33038735,None,4.84,None,862504000,-,None,None,23.861,28774859,0.0334,None,1661904000,0.61222,-2964000000,5.03,0.48,-0.123556376,1.4923935,0.17187001,1693440000,None,1669766400,5.62,11/15/2022,712936813,0.742588,67995381760,2,None,2/16/1999,2:01,None,None,None,None,1671062400,3.55,None,7.357438,1,None,0.0403,30575128,,None,None
INTC,None,1.954,None,0.19127001,,-0.4463874,None,1.84,None,4127000064,-,None,None,24.203,72785355,0.0176,None,1640390400,0.63765997,13301000192,3.23,0.365,-0.123556376,1.1903483,0.00065,1671926400,None,1664582400,1.93,11/30/2022,4122996810,0.764562,1.36E+11,2,None,7/31/2000,2:01,None,None,-0.851,None,1672358400,-0.63,None,15.657608,1,None,0.0176,67221371,,None,None
GS,None,1.181,None,0.25221002,,0.002843976,None,41.65,None,338635008,-,None,None,304.14,4498543,0.013300001,None,1672444800,0.71707,10764000256,30.06,2.5,-0.123556376,1.1477938,0.00557,1703980800,None,1672444800,2.18,11/30/2022,347829390,1.418904,52709953536,2,None,-,None,None,None,-0.663,None,1672358400,-0.95,None,8.381513,1,None,0.013300001,6300681,,None,None
