symbol,enterprisetorevenue,profitmargins,52 week change,forwardeps,sharesoutstanding,bookvalue,shareshort,sharespercentsharesout,lastfiscalyearend,heldpercentinstitutions,netincomeetocommon,trailingeps,sand52weekchange,pricetobook,heldpercentinsiders,nextfiscalyearend,mostrecentquarter,shortratio,sharesshortpreviousmonthdate,floatshares,beta,enterprisevalue,pricehint,lastsplitdate,dateshortinterest,pegratio,forwardpe,maxage,shortpercentoffloat,sharesshortpriormonth
V,15.683,0.5103,0.023839474,9.58,1627849984,16.078,30592052,0.014400001,1664496000,0.98759,14629999616,7,-0.123556376,13.649709,0.00138,1696032000,1664496000,4.47,11/30/2022,1626617397,0.940704,4.60E+11,2,3/19/2015,1672358400,1.81,22.908142,1,0.0188,37415733
GS,1.181,0.25221002,0.002843976,41.65,338635008,304.14,4498543,0.013300001,1672444800,0.71707,10764000256,30.06,-0.123556376,1.1477938,0.00557,1703980800,1672444800,2.18,11/30/2022,347829390,1.418904,52709953536,2,-,1672358400,-0.95,8.381513,1,0.013300001,6300681
WMT,0.74,0.014939999,-0.002690852,6.53,2696800000,26.75,12259035,0.0045,1643587200,0.32915002,8967000064,3.25,-0.123556376,5.2650466,0.48706,1675123200,1667174400,1.96,11/30/2022,1403064164,0.531566,4.44E+11,2,4/20/1999,1672358400,5.48,21.568146,1,0.0089,12820396
KO,6.951,0.23438999,-0.015473247,2.55,4324510208,5.274,31468943,0.0073,1640908800,0.71448,9925000192,2.28,-0.123556376,11.340538,0.00669,1672444800,1664496000,2.5,11/30/2022,3895218832,0.579351,2.94E+11,2,8/13/2012,1672358400,4.57,23.454903,1,0.0073,30224002
DOW,0.887,0.09603,-0.016779125,4.37,703758976,25.743,9268172,0.013200001,1640908800,0.65576,5674999808,7.65,-0.123556376,2.207979,0.0013,1672444800,1664496000,2.08,11/30/2022,702499540,1.294099,52710678528,2,-,1672358400,-1.01,13.0068655,1,0.013200001,10116854
BA,2.78,-0.13748,-0.022316635,2.36,595982976,-29.715,8330242,0.014,1640908800,0.58201003,-8444000256,-8.285,-0.123556376,None,0.00092,1672444800,1664496000,1.23,11/30/2022,551504966,1.396581,1.71E+11,2,6/9/1997,1672358400,-0.25,88.733055,1,0.014,8738707
HON,4.234,0.15385,-0.022400916,9.14,672321984,26.337,5841213,0.0087,1640908800,0.77106005,5375000064,7.81,-0.123556376,7.75487,0.00119,1672444800,1664496000,2.1,11/30/2022,639136407,1.134635,1.48E+11,2,10/29/2018,1672358400,3.08,22.345734,1,0.0087,6052439
AXP,2.519,0.15438,-0.0652498,10.5,747233024,32.048,5620678,0.0075,1640908800,0.86319,7533000192,9.97,-0.123556376,4.6935844,0.00129,1672444800,1664496000,2.14,11/30/2022,594468444,1.158004,1.25E+11,2,10/3/2005,1672358400,2.05,14.325714,1,0.0094,6057592
HD,2.398,0.10868,-0.07406032,16.89,1019190016,1.273,13220459,0.012999999,1643500800,0.71439004,17095000064,16.59,-0.123556376,254.27338,0.00078,1675036800,1667088000,3.13,11/30/2022,1018024150,0.948378,3.77E+11,2,12/31/1999,1672358400,3.97,19.164595,1,0.012999999,12038413
JPM,-2.471,0.30805,-0.07510495,13.61,2934299904,90.287,17049941,0.0058,1672444800,0.70744,35891998720,12.09,-0.123556376,1.5126209,0.00894,1703980800,1672444800,1.73,11/30/2022,2907568527,1.110917,-3.02E+11,2,6/12/2000,1672358400,-11,10.034534,1,0.0059,20973162
